,Description,Sentiment
0,"He's a Nobel prize winning overambitious househusband with no name.
",0.5
1,"He's a Nobel prize winning vegetarian jungle king on the run.
",0.5
2,"He's a world famous bohemian stage actor possessed of the uncanny powers of an insect. 
",0.5
3,"He's a Nobel prize winning Republican firefighter from a doomed world.
",0.5
4,"He's a world famous skateboarding hairdresser who must take medication to keep him sane. 
",0.5
5,"He's a world famous zombie photographer on the run. 
",0.5
6,"He's a Nobel prize winning voodoo photographer with acid for blood
",0.5
7,"He's a world famous misogynist filmmaker with no name
",0.5
8,"He's a Nobel prize winning neurotic cowboy haunted by memories of 'Nam.
",0.5
9,"He's a Nobel prize winning umbrella wielding cyborg in a wheelchair.
",0.5
10,"He's a world famous misogynist paramedic with acid for blood.
",0.5
11,"He's a Nobel prize winning soccer playing gentleman spy from the 'hood.
",0.5
12,"He's a Nobel prize winning pirate werewolf with acid for blood.
",0.5
13,"He's a Nobel prize winning arachnophobic gangster in a wheelchair. 
",0.5
14,"He's a world famous day dreaming gangster living undercover at Ringling Bros. Circus.
",0.5
15,"He's a Nobel prize winning playboy assassin with a winning smile and a way with the ladies
",0.43333333333333335
16,"He's a superhumanly strong devious ex con who must take medication to keep him sane.
",0.4333333333333333
17,"He's a superhumanly strong flyboy romance novelist in a wheelchair. 
",0.4333333333333333
18,"He's a superhumanly strong vegetarian vagrant from the 'hood.
",0.4333333333333333
19,"He's a superhumanly strong flyboy romance novelist from a doomed world,
",0.4333333333333333
20,"He's a Nobel prize winning sweet toothed vampire hunter on a mission from God. 
",0.425
21,"He's a war weary gay cowboy who must take medication to keep him sane
",0.4166666666666667
22,"He's a one legged gay farmboy with no name. 
",0.4166666666666667
23,"He's a suave gay vagrant possessed of the uncanny powers of an insect. 
",0.4166666666666667
24,"He's an obese gay grifter from the Mississippi delta. 
",0.4166666666666667
25,"He's a leather clad gay vampire hunter on the run.
",0.4166666666666667
26,"He's a jaded gay cat burglar from the Mississippi delta. 
",0.4166666666666667
27,"He's an immortal gay hairdresser haunted by memories of 'Nam
",0.4166666666666667
28,"He's a genetically engineered gay ex con with a winning smile and a way with the ladies.
",0.4055555555555556
29,"He's a notorious gay househusband with a winning smile and a way with the ladies. 
",0.4055555555555556
30,"He's a Nobel prize winning chivalrous werewolf who dotes on his loving old ma,
",0.4000000000000001
31,"He's a Nobel prize winning guerilla cowboy who dotes on his loving old ma.
",0.4000000000000001
32,"He's a world famous playboy farmboy who dotes on his loving old ma. 
",0.4000000000000001
33,"He's a world famous vegetarian filmmaker who dotes on his loving old ma. 
",0.4000000000000001
34,"He's a jaded zombie waffle chef with a winning smile and a way with the ladies
",0.4
35,"He's an underprivileged umbrella wielding astronaut with a winning smile and a way with the ladies. 
",0.4
36,"He's a maverick pirate dwarf with a winning smile and a way with the ladies. 
",0.4
37,"He's an impetuous day dreaming ex con with a winning smile and a way with the ladies.
",0.4
38,"He's an otherworldly devious househusband with a winning smile and a way with the ladies. 
",0.4
39,"He's a leather clad chivalrous rock star with a winning smile and a way with the ladies.
",0.4
40,"He's a one legged zombie gangster with a winning smile and a way with the ladies
",0.4
41,"He's a jaded Republican grifter with a winning smile and a way with the ladies. 
",0.4
42,"He's an immortal sweet toothed vampire hunter with a winning smile and a way with the ladies.
",0.3833333333333333
43,"He's an impetuous gay dog catcher searching for his wife's true killer.
",0.3833333333333333
44,"He's a bookish gay cowboy searching for his wife's true killer.
",0.3833333333333333
45,"He's a witless gay waffle chef who dotes on his loving old ma. 
",0.37222222222222223
46,"He's a benighted soccer playing gangster who dotes on his loving old ma.
",0.35
47,"He's a bookish hunchbacked photographer searching for his wife's true killer. 
",0.35
48,"He's an impetuous albino rock star who dotes on his loving old ma.
",0.35
49,"He's a time tossed pirate hairdresser searching for his wife's true killer.
",0.35
50,"He's an underprivileged overambitious romance novelist who dotes on his loving old ma. 
",0.35
51,"He's an ungodly bohemian vagrant who dotes on his loving old ma.
",0.35
52,"He's an oversexed overambitious dog catcher who dotes on his loving old ma
",0.35
53,"He's an obese sweet toothed rock star with a robot buddy named Sparky. 
",0.35
54,"He's a world famous dishevelled assassin with a passion for fast cars,
",0.35
55,"He's a time tossed moralistic matador searching for his wife's true killer
",0.35
56,"He's a gun slinging umbrella wielding vampire hunter searching for his wife's true killer
",0.35
57,"He's a benighted albino matador searching for his wife's true killer
",0.35
58,"He's a scarfaced albino dwarf who dotes on his loving old ma.
",0.35
59,"He's a scrappy sweet toothed senator with a robot buddy named Sparky.
",0.35
60,"He's an ungodly sweet toothed househusband possessed of the uncanny powers of an insect. 
",0.35
61,"He's a bookish Republican dog catcher searching for his wife's true killer.
",0.35
62,"He's a jaded guitar strumming inventor who dotes on his loving old ma.
",0.35
63,"He's a benighted sweet toothed gangster searching for his wife's true killer
",0.35
64,"He's a leather clad ninja firefighter searching for his wife's true killer. 
",0.35
65,"He's a one legged sweet toothed librarian with acid for blood.
",0.35
66,"He's a scarfaced Republican senator who dotes on his loving old ma.
",0.35
67,"He's a globe trotting guitar strumming paramedic who dotes on his loving old ma
",0.35
68,"He's a gun slinging sweet toothed cop from the 'hood.
",0.35
69,"He's a lounge singing amnesiac sorceror who dotes on his loving old ma
",0.35
70,"He's a time tossed sweet toothed vagrant with a robot buddy named Sparky.
",0.35
71,"He's a suicidal sweet toothed werewolf searching for his wife's true killer. 
",0.35
72,"He's an unconventional sweet toothed photographer with no name
",0.35
73,"He's an obese ninja matador searching for his wife's true killer. 
",0.35
74,"He's a bookish sweet toothed photographer with no name. 
",0.35
75,"He's an obese chivalrous cop searching for his wife's true killer.
",0.35
76,"He's an immortal flyboy grifter who dotes on his loving old ma.
",0.35
77,"He's an impetuous misogynist inventor who dotes on his loving old ma
",0.35
78,"He's an uncontrollable neurotic inventor searching for his wife's true killer.
",0.35
79,"He's an otherworldly sweet toothed ex con from a doomed world. 
",0.35
80,"He's a jaded voodoo gentleman spy searching for his wife's true killer. 
",0.35
81,"He's a lounge singing zombie cat burglar searching for his wife's true killer
",0.35
82,"He's a superhumanly strong zombie rock star on the hunt for the last specimen of a great and near mythical creature.
",0.33333333333333337
83,"He's a superhumanly strong pirate assassin on the hunt for the last specimen of a great and near mythical creature.
",0.33333333333333337
84,"He's a world famous crooked grifter with a winning smile and a way with the ladies.
",0.325
85,"He's a sword wielding sweet toothed grifter on the hunt for the last specimen of a great and near mythical creature
",0.3125
86,"He's a one legged sweet toothed messiah on the hunt for the last specimen of a great and near mythical creature
",0.3125
87,"He's a globe trotting misogynist sorceror on the hunt for the last specimen of a great and near mythical creature.
",0.3
88,"He's a fast talking guerilla stage actor who dotes on his loving old ma.
",0.3
89,"He's a leather clad guitar strumming romance novelist on the hunt for the last specimen of a great and near mythical creature. 
",0.3
90,"He's a maverick guitar strumming librarian on the hunt for the last specimen of a great and near mythical creature. 
",0.3
91,"He's an ungodly flyboy sorceror on the hunt for the last specimen of a great and near mythical creature. 
",0.3
92,"He's an oversexed moralistic shaman on the hunt for the last specimen of a great and near mythical creature
",0.3
93,"He's a scrappy shark wrestling boxer on the hunt for the last specimen of a great and near mythical creature. 
",0.3
94,"He's an old fashioned ninja romance novelist with a winning smile and a way with the ladies. 
",0.3
95,"He's an otherworldly umbrella wielding vampire hunter on the hunt for the last specimen of a great and near mythical creature.
",0.3
96,"He's a fast talking vegetarian vampire hunter who dotes on his loving old ma. 
",0.3
97,"He's a leather clad zombie househusband on the hunt for the last specimen of a great and near mythical creature. 
",0.3
98,"He's a leather clad amnesiac cop on the hunt for the last specimen of a great and near mythical creature.
",0.3
99,"He's a benighted flyboy werewolf on the hunt for the last specimen of a great and near mythical creature
",0.3
100,"He's a one legged voodoo librarian on the hunt for the last specimen of a great and near mythical creature
",0.3
101,"He's a gun slinging albino waffle chef on the hunt for the last specimen of a great and near mythical creature.
",0.3
102,"He's an ungodly voodoo senator on the hunt for the last specimen of a great and near mythical creature
",0.3
103,"He's a fast talking dishevelled paramedic searching for his wife's true killer.
",0.275
104,"He's a superhumanly strong white trash astronaut on the hunt for the last specimen of a great and near mythical creature. 
",0.2666666666666667
105,"He's a suicidal Jewish astronaut with a winning smile and a way with the ladies. 
",0.26666666666666666
106,"He's an all American umbrella wielding dwarf with a winning smile and a way with the ladies. 
",0.26666666666666666
107,"He's an otherworldly Jewish rock star with a winning smile and a way with the ladies,
",0.26666666666666666
108,"He's an underprivileged native American messiah with a winning smile and a way with the ladies,
",0.26666666666666666
109,"He's a short sighted neurotic dog catcher with a winning smile and a way with the ladies.
",0.26666666666666666
110,"He's a superhumanly strong sweet toothed rock star looking for 'the Big One.' 
",0.26111111111111107
111,"He's a short sighted gay cowboy searching for his wife's true killer. 
",0.25555555555555554
112,"He's a Nobel prize winning white trash cop in a wheelchair.
",0.25
113,"He's an otherworldly day dreaming card sharp with a winning smile and a way with the ladies.
",0.225
114,"He's a short sighted ninja werewolf on the hunt for the last specimen of a great and near mythical creature. 
",0.225
115,"He's a maverick Jewish photographer on the hunt for the last specimen of a great and near mythical creature.
",0.225
116,"He's a lounge singing Jewish gentleman spy on the hunt for the last specimen of a great and near mythical creature.
",0.225
117,"He's a suave native American sorceror on the hunt for the last specimen of a great and near mythical creature. 
",0.225
118,"He's an old fashioned sweet toothed ex con in a wheelchair,
",0.22499999999999998
119,"He's an old fashioned arachnophobic boxer searching for his wife's true killer
",0.22499999999999998
120,"He's an old fashioned sweet toothed gangster haunted by memories of 'Nam.
",0.22499999999999998
121,"He's a superhumanly strong small town paranormal investigator on the hunt for the last specimen of a great and near mythical creature. 
",0.2166666666666667
122,"He's a superhumanly strong Amish stage actor looking for 'the Big One.' 
",0.21666666666666665
123,"He's a superhumanly strong devious photographer with a mysterious suitcase handcuffed to his arm
",0.21666666666666665
124,"He's a superhumanly strong Catholic grifter from the 'hood. 
",0.21666666666666665
125,"He's an all American gay ex con from the Mississippi delta. 
",0.20833333333333334
126,"He's an obese gay cyborg with a mysterious suitcase handcuffed to his arm. 
",0.20833333333333334
127,"He's a fast talking playboy waffle chef in a wheelchair.
",0.2
128,"He's a scarfaced overambitious boxer with a passion for fast cars.
",0.2
129,"He's an ungodly skateboarding paranormal investigator with a passion for fast cars.
",0.2
130,"He's a Nobel prize winning Republican senator haunted by an iconic dead American confidante 
",0.2
131,"He's a fast talking amnesiac astronaut on the edge. 
",0.2
132,"He's a globe trotting guitar strumming rock star with a passion for fast cars,
",0.2
133,"He's a war weary bohemian cat burglar with a passion for fast cars.
",0.2
134,"He's an ungodly devious sorceror with a passion for fast cars
",0.2
135,"He's a fast talking hunchbacked photographer for the st century.
",0.2
136,"He's a Nobel prize winning chivalrous photographer in drag
",0.2
137,"He's a maverick shark wrestling paramedic with a passion for fast cars
",0.2
138,"He's a benighted amnesiac werewolf with a passion for fast cars.
",0.2
139,"He's an oversexed skateboarding hairdresser with a passion for fast cars.
",0.2
140,"He's a benighted bohemian ex con with a passion for fast cars
",0.2
141,"He's an immortal pirate paranormal investigator with a passion for fast cars. 
",0.2
142,"He's an unconventional dishevelled assassin with a passion for fast cars. 
",0.2
