,Description,Sentiment
0,"She's a brilliant communist lawyer trying to make a difference in a man's world.
",0.9
1,"She's a brilliant mute pearl diver on her way to prison for a murder she didn't commit.
",0.9
2,"She's a tortured motormouth traffic cop with an incredible destiny.
",0.9
3,"She's a brilliant impetuous soap star in the witness protection scheme. 
",0.9
4,"She's a manipulative belly dancing museum curator with an incredible destiny,
",0.9
5,"She's a brilliant streetsmart bounty hunter with an MBA from Harvard.
",0.9
6,"She's a brilliant insomniac Hell's Angel from beyond the grave.
",0.9
7,"She's an enchanted belly dancing Hell's Angel with an incredible destiny
",0.9
8,"She's a mistrustful snooty detective with an incredible destiny
",0.9
9,"She's a scantily clad antique collecting schoolgirl with an incredible destiny.
",0.9
10,"She's a brilliant motormouth bodyguard with an incredible destiny. 
",0.9
11,"She's a brilliant tomboy stripper trying to make a difference in a man's world.
",0.9
12,"She's a manipulative psychic opera singer with an incredible destiny.
",0.9
13,"She's a brilliant antique collecting fairy princess with the power to bend men's minds
",0.9
14,"She's a scantily clad winged detective with an incredible destiny
",0.9
15,"She's a virginal winged Hell's Angel with an incredible destiny. 
",0.9
16,"She's a beautiful punk research scientist with the power to bend men's minds.
",0.85
17,"She's a beautiful gold digging socialite on the trail of a serial killer.
",0.85
18,"She's a beautiful streetsmart hooker trying to make a difference in a man's world. 
",0.85
19,"She's a beautiful paranoid college professor prone to fits of savage, blood crazed rage.
",0.85
20,"She's a beautiful renegade pearl diver with an MBA from Harvard. 
",0.85
21,"She's a beautiful punk bodyguard with a birthmark shaped like Liberty's torch
",0.85
22,"She's a beautiful bisexual widow with a flame thrower.
",0.85
23,"She's a beautiful insomniac opera singer with an MBA from Harvard.
",0.85
24,"She's a brilliant bisexual safe cracker with someone else's memories. 
",0.7
25,"She's a brilliant insomniac vampire who dreams of becoming Elvis. 
",0.675
26,"She's a brilliant kleptomaniac traffic cop who dreams of becoming Elvis. 
",0.675
27,"She's a strong willed hypochondriac mermaid with an incredible destiny. 
",0.6666666666666666
28,"She's a brilliant mute opera singer with the soul of a mighty warrior. 
",0.65
29,"She's a beautiful renegade museum curator who dreams of becoming Elvis
",0.65
30,"She's a warm hearted communist museum curator fleeing from a Satanic cult.
",0.6
31,"She's a chain smoking thirtysomething mermaid with her own daytime radio talk show. 
",0.6
32,"She's a warm hearted gypsy politician with a song in her heart and a spring in her step
",0.6
33,"She's a tortured cat loving schoolgirl on her way to prison for a murder she didn't commit.
",0.6
34,"She's a provocative cat loving fairy princess from beyond the grave 
",0.6
35,"She's a warm hearted antique collecting Valkyrie with someone else's memories
",0.6
36,"She's an enchanted cat loving nun living on borrowed time. 
",0.6
37,"She's a virginal kleptomaniac schoolgirl with her own daytime radio talk show
",0.6
38,"She's a warm hearted impetuous angel with a song in her heart and a spring in her step
",0.6
39,"She's a warm hearted Buddhist cab driver from beyond the grave 
",0.6
40,"She's a warm hearted bisexual barmaid with a flame thrower. 
",0.6
41,"She's a manipulative junkie femme fatale with her own daytime radio talk show. 
",0.6
42,"She's a man hating out of work mercenary with her own daytime radio talk show. 
",0.6
43,"She's a tortured antique collecting college professor with her own daytime radio talk show
",0.6
44,"She's a chain smoking streetsmart doctor with her own daytime radio talk show. 
",0.6
45,"She's a warm hearted insomniac mermaid who can talk to animals
",0.6
46,"She's an orphaned antique collecting bodyguard with her own daytime radio talk show.
",0.6
47,"She's a manipulative kleptomaniac journalist with her own daytime radio talk show.
",0.6
48,"She's a warm hearted kleptomaniac stripper from beyond the grave 
",0.6
49,"She's a warm hearted cigar chomping journalist on the trail of a serial killer.
",0.6
50,"She's a time travelling cat loving opera singer who can talk to animals. 
",0.6
51,"She's a manipulative cat loving mechanic who believes she is the reincarnation of an ancient Egyptian queen.
",0.6
52,"She's a chain smoking cat loving mermaid with the power to see death. 
",0.6
53,"She's an orphaned cat loving detective prone to fits of savage, blood crazed rage. 
",0.6
54,"She's a brilliant cat loving snake charmer married to the Mob
",0.5833333333333334
55,"She's a beautiful paranoid advertising executive descended from a line of powerful witches.
",0.575
56,"She's a brilliant antique collecting cab driver married to the Mob. 
",0.575
57,"She's a brilliant psychic archaeologist married to the Mob.
",0.575
58,"She's a brilliant streetsmart safe cracker descended from a line of powerful witches.
",0.5666666666666667
59,"She's a beautiful gypsy fairy princess married to the Mob. 
",0.55
60,"She's a wealthy communist Valkyrie with her own daytime radio talk show.
",0.55
61,"She's a warm hearted nymphomaniac safe cracker with a birthmark shaped like Liberty's torch. 
",0.55
62,"She's a supernatural belly dancing mercenary with an incredible destiny. 
",0.5333333333333333
63,"She's an orphaned cat loving advertising executive who dreams of becoming Elvis
",0.525
64,"She's a brilliant gold digging cab driver living homeless in New York's sewers
",0.5181818181818182
65,"She's a strong willed out of work detective with her own daytime radio talk show. 
",0.5166666666666666
66,"She's a strong willed nymphomaniac safe cracker with her own daytime radio talk show. 
",0.5111111111111111
67,"She's an elegant insomniac angel with a birthmark shaped like Liberty's torch.
",0.5
68,"She's a wealthy renegade mechanic living on borrowed time
",0.5
69,"She's a wealthy hip hop mechanic prone to fits of savage, blood crazed rage. 
",0.5
70,"She's a wealthy motormouth wrestler with a flame thrower
",0.5
71,"She's a wealthy insomniac mercenary in the witness protection scheme
",0.5
72,"She's a wealthy renegade stripper with a song in her heart and a spring in her step
",0.5
73,"She's an elegant mute safe cracker from out of town.
",0.5
74,"She's an elegant wisecracking college professor with a flame thrower.
",0.5
75,"She's an elegant foul mouthed stripper who can talk to animals.
",0.5
76,"She's an elegant mutant traffic cop with a flame thrower
",0.5
77,"She's an elegant communist journalist with a song in her heart and a spring in her step. 
",0.5
78,"She's a wealthy bisexual hooker in the witness protection scheme. 
",0.5
79,"She's an elegant psychic widow living on borrowed time.
",0.5
80,"She's a wealthy punk fairy princess on her way to prison for a murder she didn't commit
",0.5
81,"She's a wealthy nymphomaniac advertising executive fleeing from a Satanic cult.
",0.5
82,"She's a wealthy Buddhist museum curator prone to fits of savage, blood crazed rage. 
",0.5
83,"She's a chain smoking out of work safe cracker living on borrowed time. 
",0.5
84,"She's a wealthy gold digging schoolgirl prone to fits of savage, blood crazed rage.
",0.5
85,"She's an elegant renegade soap star fleeing from a Satanic cult. 
",0.5
86,"She's a vivacious snooty safe cracker prone to fits of savage, blood crazed rage. 
",0.5
87,"She's an elegant kleptomaniac mermaid on her way to prison for a murder she didn't commit. 
",0.5
88,"She's a wealthy winged politician from beyond the grave ,
",0.5
89,"She's an elegant bisexual Hell's Angel fleeing from a Satanic cult. 
",0.5
90,"She's a wealthy motormouth museum curator from Mars
",0.5
91,"She's an elegant junkie widow fleeing from a Satanic cult. 
",0.5
92,"She's an elegant punk hooker on her way to prison for a murder she didn't commit,
",0.5
93,"She's an elegant hip hop politician from Mars.
",0.5
94,"She's a wealthy renegade femme fatale who dreams of becoming Elvis. 
",0.475
95,"She's an artistic tomboy wrestler with her own daytime radio talk show. 
",0.4666666666666667
